title,year,tomatometer,audience_score,box_office,credits,category,Director Name
Find Your Groove,2020,No Score Yet,No Score Yet,,Producer,Movie,Martin Guigui
Drama Drama,2019,No Score Yet,No Score Yet,,"Director,Screenwriter",Movie,Martin Guigui
Wetware,2018,No Score Yet,50,,Executive Producer,Movie,Martin Guigui
Future World,2018,0%,12,,Executive Producer,Movie,Martin Guigui
9/11,2017,20,41,172000,"Director,Screenwriter",Movie,Martin Guigui
In Dubious Battle,2016,26,39,,Executive Producer,Movie,Martin Guigui
Newman,2015,No Score Yet,No Score Yet,,Producer,Movie,Martin Guigui
The Bronx Bull,2015,No Score Yet,39,,"Director,Screenwriter,Executive Producer",Movie,Martin Guigui
Beneath the Darkness,2011,0%,15,9600,Director,Movie,Martin Guigui
Born to Ride,2011,No Score Yet,21,,Producer,Movie,Martin Guigui
Benny Bliss and the Disciples of Greatness,2009,No Score Yet,No Score Yet,,"Hairy Fingers (Character),Director,Screenwriter,Executive Producer",Movie,Martin Guigui
Oy Vey! My Son Is Gay!,2009,No Score Yet,58,87154,Screenwriter,Movie,Martin Guigui
National Lampoon's Cattle Call,2006,No Score Yet,11,,"Director,Writer",Movie,Martin Guigui
Swing,2003,42,No Score Yet,,Director,Movie,Martin Guigui
Changing Hearts,2002,No Score Yet,64,,Director,Movie,Martin Guigui
My X-Girlfriend's Wedding Reception,1999,No Score Yet,60,,"Max Tune (Character),Director,Screenwriter,Executive Producer",Movie,Martin Guigui
Overhaulin',2005-2006,No Score Yet,No Score Yet,Box office not found,Tow Yard Owner (Character),TV Show,Martin Guigui
Armed Response,2017,0%,15,,Director,Movie,John Stockwell
Kickboxer: Vengeance,2016,41,45,,Director,Movie,John Stockwell
Countdown,2016,No Score Yet,33,,Director,Movie,John Stockwell
Countdown,2016,No Score Yet,No Score Yet,,Director,Movie,John Stockwell
Cat Run 2,2014,No Score Yet,16,,Director,Movie,John Stockwell
Kid Cannabis,2014,71,64,5565,"Director,Screenwriter",Movie,John Stockwell
In the Blood,2014,38,39,,Director,Movie,John Stockwell
Breaking the Girls,2013,11,28,,David Layton (Character),Movie,John Stockwell
SEAL Team Six: The Raid on Osama bin Laden,2012,50,45,,Director,Movie,John Stockwell
Dark Tide,2012,0%,16,,Director,Movie,John Stockwell
Code Name: Geronimo,2012,36,27,,Director,Movie,John Stockwell
Cat Run,2011,20,33,,Director,Movie,John Stockwell
Middle of Nowhere,2008,No Score Yet,49,,"Director,Producer",Movie,John Stockwell
Turistas,2006,19,28,7025803,"Director,Producer",Movie,John Stockwell
Into the Blue,2005,20,57,18472363,Director,Movie,John Stockwell
Blue Crush,2002,62,58,40118420,"Director,Writer",Movie,John Stockwell
Rock Star,2001,53,59,16991902,Writer,Movie,John Stockwell
Crazy/Beautiful,2001,63,69,16929123,Director,Movie,John Stockwell
Cheaters,2000,No Score Yet,60,,"Director,Writer",Movie,John Stockwell
Breast Men,1997,50,33,,"Robert Renaud (Character),Writer",Movie,John Stockwell
The Nurse,1997,No Score Yet,9,,Jack Martin (Character),Movie,John Stockwell
Stag,1997,40,38,,Victor Mallick (Character),Movie,John Stockwell
Legal Deceit,1997,No Score Yet,No Score Yet,,Adam (Character),Movie,John Stockwell
I Shot a Man in Vegas,1995,No Score Yet,No Score Yet,,Grant (Character),Movie,John Stockwell
Hart to Hart: Crimes of the Hart,1994,No Score Yet,No Score Yet,,Peter Rubin (Character),Movie,John Stockwell
Born to Ride,1990,No Score Yet,43,17680,Capt. Jack Hassler (Character),Movie,John Stockwell
Billionaire Boys Club,1987,No Score Yet,74,,Brad Sedgwick (Character),Movie,John Stockwell
Under Cover,1987,No Score Yet,7,,Director,Movie,John Stockwell
Top Gun,1986,58,83,179800601,Cougar (Character),Movie,John Stockwell
Dangerously Close,1986,10,44,2026765,"Randy McDevitt (Character),Screenwriter",Movie,John Stockwell
Radioactive Dreams,1986,No Score Yet,45,210212,Phillip Chandler (Character),Movie,John Stockwell
City Limits,1985,No Score Yet,8,,Lee (Character),Movie,John Stockwell
My Science Project,1985,11,57,,Michael Harlan (Character),Movie,John Stockwell
Quarterback Princess,1983,No Score Yet,60,,Scott Massey (Character),Movie,John Stockwell
Christine,1983,72,64,,Dennis Guilder (Character),Movie,John Stockwell
Eddie and the Cruisers,1983,33,73,,Keith Livingston (Character),Movie,John Stockwell
Losin' It,1982,18,28,,Spider (Character),Movie,John Stockwell
Relativity,1996-1996,81,No Score Yet,Box office not found,Unknown (Guest Star),TV Show,John Stockwell
Friday the 13th: The Series,1988-1988,No Score Yet,70,Box office not found,Unknown (Guest Star),TV Show,John Stockwell
North and South,1985-1985,No Score Yet,75,Box office not found,Billy Hazard (Character),TV Show,John Stockwell
No Time to Spy: A Loud House Movie,2024,No Score Yet,84,,Executive Producer,Movie,Brian Robbins
The Loud House Movie,2021,No Score Yet,63,,Executive Producer,Movie,Brian Robbins
To All the Boys I've Loved Before,2018,96,84,,Producer,Movie,Brian Robbins
Public Disturbance,2017,No Score Yet,25,,Producer,Movie,Brian Robbins
Behind the Curtain: Todrick Hall,2017,No Score Yet,No Score Yet,,Producer,Movie,Brian Robbins
Bigger Fatter Liar,2017,No Score Yet,26,,Executive Producer,Movie,Brian Robbins
Before I Fall,2017,64,57,12230741,Producer,Movie,Brian Robbins
We Love You,2016,No Score Yet,39,,Producer,Movie,Brian Robbins
Shovel Buddies,2016,No Score Yet,38,,Producer,Movie,Brian Robbins
Dance Camp,2016,No Score Yet,62,,Producer,Movie,Brian Robbins
Janoskians: Untold and Untrue,2015,No Score Yet,86,,Executive Producer,Movie,Brian Robbins
Snervous Tyler Oakley,2015,40,58,,Producer,Movie,Brian Robbins
SMOSH: The Movie!,2015,No Score Yet,42,,Producer,Movie,Brian Robbins
Expelled,2014,No Score Yet,53,,Producer,Movie,Brian Robbins
Terry the Tomboy,2014,No Score Yet,86,,Executive Producer,Movie,Brian Robbins
The To Do List,2013,55,46,3447339,Producer,Movie,Brian Robbins
Mindless Behavior: All Around The World,2013,No Score Yet,95,344500,Producer,Movie,Brian Robbins
A Thousand Words,2012,0%,46,18438149,"Director,Producer",Movie,Brian Robbins
Fred: The Movie,2010,0%,41,,Executive Producer,Movie,Brian Robbins
Meet Dave,2008,20,35,11802056,Director,Movie,Brian Robbins
Wild Hogs,2007,14,61,168213584,Producer,Movie,Brian Robbins
Norbit,2007,9,53,95323496,"Director,Executive Producer",Movie,Brian Robbins
The Shaggy Dog,2006,26,39,61123569,Director,Movie,Brian Robbins
Dreamer: Inspired by a True Story,2005,64,78,32654700,Producer,Movie,Brian Robbins
Coach Carter,2005,64,85,67253092,Producer,Movie,Brian Robbins
The Perfect Score,2004,15,44,10387706,"Director,Producer",Movie,Brian Robbins
Radio,2003,35,79,52277485,Producer,Movie,Brian Robbins
Big Fat Liar,2002,45,44,47811275,"Writer,Producer",Movie,Brian Robbins
Hardball,2001,41,70,40219708,"Director,Producer",Movie,Brian Robbins
Summer Catch,2001,8,41,19693891,Producer,Movie,Brian Robbins
Ready to Rumble,2000,23,52,12372410,Director,Movie,Brian Robbins
Two Heads Are Better Than None,2000,No Score Yet,71,,Executive Producer,Movie,Brian Robbins
Varsity Blues,1999,45,76,52894169,"Director,Producer",Movie,Brian Robbins
Good Burger,1997,33,63,23712451,"Director,Producer",Movie,Brian Robbins
Rap Show,1995,No Score Yet,No Score Yet,,Director,Movie,Brian Robbins
The Show,1995,80,85,2297224,"Director,Producer",Movie,Brian Robbins
Hank Aaron: Chasing the Dream,1995,No Score Yet,No Score Yet,,Executive Producer,Movie,Brian Robbins
DaVinci's War,1993,No Score Yet,No Score Yet,,Father Michael (Character),Movie,Brian Robbins
C.H.U.D. II,1989,No Score Yet,23,,Steve Williams (Character),Movie,Brian Robbins
Cellar Dweller,1988,No Score Yet,27,,Phillip Lemley (Character),Movie,Brian Robbins
One Terrific Guy,1986,No Score Yet,No Score Yet,,Todd (Character),Movie,Brian Robbins
The Gladiator,1986,No Score Yet,No Score Yet,,Jeff Benton (Character),Movie,Brian Robbins
Foursome,"2017,2019-2017,2019",No Score Yet,No Score Yet,Box office not found,"Unknown (Character),Executive Producer",TV Show,Brian Robbins
The Royals,2015-2018,No Score Yet,80,Box office not found,Executive Producer,TV Show,Brian Robbins
Project MC2,2016-2017,No Score Yet,No Score Yet,Box office not found,Executive Producer,TV Show,Brian Robbins
Freakish,2016-2017,No Score Yet,65,Box office not found,Executive Producer,TV Show,Brian Robbins
Richie Rich,2015-2015,No Score Yet,45,Box office not found,Assistant Producer,TV Show,Brian Robbins
Supah Ninjas,2011-2013,No Score Yet,No Score Yet,Box office not found,Executive Producer,TV Show,Brian Robbins
Fred: The Show,2012-2012,No Score Yet,88,Box office not found,Executive Producer,TV Show,Brian Robbins
One Tree Hill,2003-2012,No Score Yet,68,Box office not found,Executive Producer,TV Show,Brian Robbins
Blue Mountain State,2010-2011,No Score Yet,86,Box office not found,Executive Producer,TV Show,Brian Robbins
Smallville,2009-2011,78,70,Box office not found,Executive Producer,TV Show,Brian Robbins
What I Like About You,2002-2006,No Score Yet,No Score Yet,Box office not found,Executive Producer,TV Show,Brian Robbins
Crumbs,2006-2006,33,No Score Yet,Box office not found,Executive Producer,TV Show,Brian Robbins
Inconceivable,2005-2005,30,No Score Yet,Box office not found,Executive Producer,TV Show,Brian Robbins
The Days,2004-2004,No Score Yet,No Score Yet,Box office not found,Executive Producer,TV Show,Brian Robbins
I'm With Her,2003-2004,58,No Score Yet,Box office not found,Executive Producer,TV Show,Brian Robbins
Black Sash,2003-2003,No Score Yet,No Score Yet,Box office not found,Executive Producer,TV Show,Brian Robbins
Birds of Prey,2002-2003,52,42,Box office not found,"Executive Producer,Director",TV Show,Brian Robbins
Cousin Skeeter,1999-2001,No Score Yet,No Score Yet,Box office not found,Executive Producer,TV Show,Brian Robbins
Hype,2000-2001,14,No Score Yet,Box office not found,Executive Producer,TV Show,Brian Robbins
Popular,1999-1999,60,100,Box office not found,Director,TV Show,Brian Robbins
Full House,1992-1992,No Score Yet,81,Box office not found,David Janolari (Guest Star),TV Show,Brian Robbins
Head of the Class,1986-1991,No Score Yet,No Score Yet,Box office not found,Eric Mardian (Character),TV Show,Brian Robbins
Mr. Belvedere,1986-1986,No Score Yet,No Score Yet,Box office not found,Unknown (Guest Star),TV Show,Brian Robbins
Growing Pains,1985-1985,No Score Yet,No Score Yet,Box office not found,Unknown (Guest Star),TV Show,Brian Robbins
Newhart,1984-1984,No Score Yet,No Score Yet,Box office not found,Unknown (Guest Star),TV Show,Brian Robbins
Diff'rent Strokes,1984-1984,No Score Yet,No Score Yet,Box office not found,Unknown (Guest Star),TV Show,Brian Robbins
Knight Rider,1983-1983,No Score Yet,80,Box office not found,Randy Merritt (Guest Star),TV Show,Brian Robbins
Three's Company,1983-1983,No Score Yet,95,Box office not found,Unknown (Guest Star),TV Show,Brian Robbins
The Facts of Life,1982-1982,No Score Yet,No Score Yet,Box office not found,Guest,TV Show,Brian Robbins
Archie Bunker's Place,1982-1982,66,No Score Yet,Box office not found,Unknown (Guest Star),TV Show,Brian Robbins
Hollywood Bulldogs: The Rise and Falls of the Great British Stuntman,2021,No Score Yet,No Score Yet,,Self,Movie,Vic Armstrong
A Sunday Horse,2016,No Score Yet,58,,Director,Movie,Vic Armstrong
Left Behind,2014,0%,20,13998282,Director,Movie,Vic Armstrong
Blade: Trinity,2004,24,58,52388844,Second Unit Director,Movie,Vic Armstrong
Die Another Day,2002,55,41,160201106,Second Unit Director,Movie,Vic Armstrong
Adventures of Young Indiana Jones: The Adventures in the Secret Service,1999,No Score Yet,67,,Director,Movie,Vic Armstrong
Army of One,1994,No Score Yet,50,,Director,Movie,Vic Armstrong
House on Straw Hill,1976,No Score Yet,18,,Small Youth (Character),Movie,Vic Armstrong
The Young Indiana Jones Chronicles,1992-1992,78,85,Box office not found,Director,TV Show,Vic Armstrong
Hot Air,2018,17,62,,"Director,Producer",Movie,Frank Coraci
The Ridiculous 6,2015,0%,36,,Director,Movie,Frank Coraci
Blended,2014,15,64,46280507,Director,Movie,Frank Coraci
Here Comes the Boom,2012,41,65,45290318,Director,Movie,Frank Coraci
Zookeeper,2011,14,41,80360866,Director,Movie,Frank Coraci
Click,2006,34,66,137340146,Director,Movie,Frank Coraci
Grandma's Boy,2006,15,85,6087218,Cousin Steven (Character),Movie,Frank Coraci
Around the World in 80 Days,2004,32,34,24004159,Director,Movie,Frank Coraci
Last Man Running,2003,No Score Yet,No Score Yet,,Rick's roommate (Character),Movie,Frank Coraci
The Waterboy,1998,34,71,161491646,Director,Movie,Frank Coraci
The Wedding Singer,1998,72,80,80245725,Director,Movie,Frank Coraci
Murdered Innocence,1996,No Score Yet,No Score Yet,,Director,Movie,Frank Coraci
Chow Masters,2014-2014,No Score Yet,No Score Yet,Box office not found,Host,TV Show,Frank Coraci
Armor,2024,No Score Yet,No Score Yet,,Production Design,Movie,Travis Zariwny
Cash Out,2024,20,32,,Production Design,Movie,Travis Zariwny
Robots,2023,18,39,,Production Design,Movie,Travis Zariwny
Supercell,2022,47,75,,Production Design,Movie,Travis Zariwny
Hot Seat,2022,11,15,,Production Design,Movie,Travis Zariwny
Aftermath,2021,No Score Yet,61,,Production Design,Movie,Travis Zariwny
Con Man,2018,No Score Yet,33,,Production Design,Movie,Travis Zariwny
The Midnight Man,2016,27,33,,"Director,Screenwriter",Movie,Travis Zariwny
Intruder,2016,21,24,,"Director,Screenwriter",Movie,Travis Zariwny
Cabin Fever,2016,0%,12,,Director,Movie,Travis Zariwny
Dancer and the Dame,2015,No Score Yet,53,,Set Decoration,Movie,Travis Zariwny
Digging Up the Marrow,2014,58,43,,Production Design,Movie,Travis Zariwny
Authors Anonymous,2014,8,16,,Production Design,Movie,Travis Zariwny
Unidentified,2013,No Score Yet,6,,Production Design,Movie,Travis Zariwny
Sugar,2013,No Score Yet,70,,Production Design,Movie,Travis Zariwny
Scavengers,2013,No Score Yet,17,,"Director,Screenwriter",Movie,Travis Zariwny
The Kill Hole,2012,25,26,,Production Design,Movie,Travis Zariwny
For the Love of Money,2012,0%,50,,Production Design,Movie,Travis Zariwny
Bad Ass,2012,20,39,,Set Decoration,Movie,Travis Zariwny
The Connecticut Kid,2011,No Score Yet,No Score Yet,,"Travis (Character),Production Design",Movie,Travis Zariwny
Chillerama,2011,33,44,,Production Design,Movie,Travis Zariwny
In NorthWood,2011,No Score Yet,No Score Yet,,Production Design,Movie,Travis Zariwny
"Little Fish, Strange Pond",2009,No Score Yet,56,,Production Design,Movie,Travis Zariwny
Greta,2009,60,56,,Art Director,Movie,Travis Zariwny
Green Street Hooligans 2,2009,No Score Yet,31,,Production Design,Movie,Travis Zariwny
Shadowheart,2009,No Score Yet,30,,Production Design,Movie,Travis Zariwny
Trapped!,2007,No Score Yet,No Score Yet,,Production Design,Movie,Travis Zariwny
Ice Spiders,2007,No Score Yet,18,,Production Design,Movie,Travis Zariwny
Behind the Mask: The Rise of Leslie Vernon,2006,76,75,,Production Design,Movie,Travis Zariwny
The Hazing,2004,No Score Yet,34,,Production Design,Movie,Travis Zariwny
The Mallory Effect,2002,No Score Yet,No Score Yet,,Production Design,Movie,Travis Zariwny
No Place Like Home,2001,No Score Yet,No Score Yet,,Production Design,Movie,Travis Zariwny
Dumb Luck,2001,No Score Yet,No Score Yet,,Production Design,Movie,Travis Zariwny
Quiet Life,2024,91,No Score Yet,,"Director,Screenwriter",Movie,Alexandros Avranas
Dark Crimes,2016,0%,30,,Director,Movie,Alexandros Avranas
Miss Violence,2013,80,72,,"Director,Screenwriter,Producer",Movie,Alexandros Avranas
Shut In,2022,50,93,,Director,Movie,D.J. Caruso
Redeeming Love,2022,11,95,9210225,"Director,Screenwriter",Movie,D.J. Caruso
Are You Afraid of the Dark?,2019,No Score Yet,No Score Yet,,Director,Movie,D.J. Caruso
xXx: Return of Xander Cage,2017,46,37,44850317,Director,Movie,D.J. Caruso
The Disappointments Room,2016,0%,17,2411580,"Director,Screenwriter",Movie,D.J. Caruso
Standing Up,2013,56,64,,"Director,Screenwriter",Movie,D.J. Caruso
I Am Number Four,2011,32,57,55092830,Director,Movie,D.J. Caruso
Y: The Last Man,2011,No Score Yet,No Score Yet,,Director,Movie,D.J. Caruso
Eagle Eye,2008,27,62,101111837,Director,Movie,D.J. Caruso
Disturbia,2007,69,77,80050171,Director,Movie,D.J. Caruso
Two for the Money,2005,22,48,22862049,Director,Movie,D.J. Caruso
Taking Lives,2004,22,54,32682342,Director,Movie,D.J. Caruso
Crazy as Hell,2002,53,56,20710,Producer,Movie,D.J. Caruso
The Salton Sea,2002,63,82,676698,Director,Movie,D.J. Caruso
Mind Prey,1999,No Score Yet,No Score Yet,,"Director,Producer",Movie,D.J. Caruso
Mockery for Justice,1999,No Score Yet,No Score Yet,,Director,Movie,D.J. Caruso
Black Cat Run,1998,No Score Yet,44,,Director,Movie,D.J. Caruso
Rebound -- The Legend of Earl The Goat Manigault,1996,No Score Yet,94,,Executive Producer,Movie,D.J. Caruso
Nick of Time,1995,30,47,7790129,Executive Producer,Movie,D.J. Caruso
Drop Zone,1994,39,32,26734233,Producer,Movie,D.J. Caruso
"Bronx Zoo '90: Crime, Chaos, and Baseball",2024-2024,No Score Yet,No Score Yet,Box office not found,"Executive Producer,Director",TV Show,D.J. Caruso
On the Lot,2007-2007,No Score Yet,No Score Yet,Box office not found,Judge,TV Show,D.J. Caruso
Robbery Homicide Division,2002-2002,57,No Score Yet,Box office not found,Director,TV Show,D.J. Caruso
The Shield,2002-2002,90,96,Box office not found,Director,TV Show,D.J. Caruso
Smallville,2002-2002,78,70,Box office not found,Director,TV Show,D.J. Caruso
The Strip,1999-1999,13,No Score Yet,Box office not found,Director,TV Show,D.J. Caruso
Martial Law,1999-1999,No Score Yet,No Score Yet,Box office not found,Director,TV Show,D.J. Caruso
Buddy Faro,1998-1998,92,No Score Yet,Box office not found,Director,TV Show,D.J. Caruso
Max Steel,2016,0%,48,3771397,Director,Movie,Stewart Hendler
Pretty/Tough,2013,No Score Yet,No Score Yet,,Director,Movie,Stewart Hendler
Halo 4: Forward Unto Dawn,2012,No Score Yet,69,,Director,Movie,Stewart Hendler
Sorority Row,2009,25,33,11956207,Director,Movie,Stewart Hendler
Whisper,2007,No Score Yet,42,,Director,Movie,Stewart Hendler
Superman & Lois,2023-2023,88,82,Box office not found,Director,TV Show,Stewart Hendler
The Warfighters,2017-2017,No Score Yet,No Score Yet,Box office not found,Producer,TV Show,Stewart Hendler
Expend4bles,2023,14,70,16244207,Screenwriter,Movie,Max Adams
Precious Cargo,2016,0%,23,,"Director,Screenwriter",Movie,Max Adams
Extraction,2015,6,17,10948,Screenwriter,Movie,Max Adams
Heist,2015,30,41,47239,Screenwriter,Movie,Max Adams
Bride Hard,2024,No Score Yet,No Score Yet,,Director,Movie,Simon West
Skyfire,2019,57,31,,Director,Movie,Simon West
Stratton,2017,0%,23,,Director,Movie,Simon West
Salty,2017,0%,36,,"Director,Producer",Movie,Simon West
The Saint,2017,No Score Yet,37,,"Director,Executive Producer",Movie,Simon West
Wild Card,2015,30,29,,Director,Movie,Simon West
Stolen,2012,18,34,289773,Director,Movie,Simon West
The Expendables 2,2012,68,67,85017401,Director,Movie,Simon West
The Mechanic,2011,54,51,29113588,Director,Movie,Simon West
When a Stranger Calls,2006,8,43,47860214,Director,Movie,Simon West
Black Hawk Down,2001,76,88,108638745,Executive Producer,Movie,Simon West
Lara Croft: Tomb Raider,2001,20,47,131144183,"Director,Writer",Movie,Simon West
The General's Daughter,1999,21,46,102678089,Director,Movie,Simon West
Con Air,1997,58,75,101111259,Director,Movie,Simon West
Swallows and Amazons,1974,No Score Yet,76,,John Walker (Character),Movie,Simon West
Boundless,2022-2022,No Score Yet,79,Box office not found,Director,TV Show,Simon West
The Cape,2011-2011,41,50,Box office not found,Executive Producer,TV Show,Simon West
Human Target,2010-2010,75,90,Box office not found,"Executive Producer,Director",TV Show,Simon West
Close to Home,2005-2007,65,No Score Yet,Box office not found,"Executive Producer,Director",TV Show,Simon West
Keen Eddie,2003-2004,No Score Yet,No Score Yet,Box office not found,"Executive Producer,Director",TV Show,Simon West
Krazy House,2024,22,No Score Yet,,Jesus (Character),Movie,Kevin Connolly
Dashing Through the Snow,2023,32,63,,Unknown (Character),Movie,Kevin Connolly
Chick Fight,2020,38,21,,Dr. Roy (Character),Movie,Kevin Connolly
Gotti,2018,0%,44,4261958,Director,Movie,Kevin Connolly
The Book of Love,2016,8,63,,Executive Producer,Movie,Kevin Connolly
Dear Eleanor,2016,No Score Yet,44,,Director,Movie,Kevin Connolly
Consumed,2015,No Score Yet,33,,Executive Producer,Movie,Kevin Connolly
Entourage,2015,33,57,32363404,Eric (Character),Movie,Kevin Connolly
Reach Me,2014,4,47,,Roger (Character),Movie,Kevin Connolly
Hotel Noir,2012,13,31,,Vance (Character),Movie,Kevin Connolly
Secretariat,2010,64,76,59699513,Bill Nack (Character),Movie,Kevin Connolly
The Ugly Truth,2009,14,60,88915214,Jim (Character),Movie,Kevin Connolly
He's Just Not That Into You,2009,42,59,,Conor (Character),Movie,Kevin Connolly
Gardener of Eden,2007,No Score Yet,33,,Director,Movie,Kevin Connolly
One Piece Movie: The Desert Princess and the Pirates; Adventures in Alabasta,2007,No Score Yet,71,,Pell (Character),Movie,Kevin Connolly
Fullmetal Alchemist,2006,No Score Yet,No Score Yet,,Kain Fuery (Voice),Movie,Kevin Connolly
The Notebook,2004,54,85,81001787,Fin (Character),Movie,Kevin Connolly
Devious Beings,2002,No Score Yet,No Score Yet,,Casey (Character),Movie,Kevin Connolly
Antwone Fisher,2002,78,86,21078145,Slim (Character),Movie,Kevin Connolly
John Q,2002,26,78,71026631,Steve Maguire (Character),Movie,Kevin Connolly
Don's Plum,2001,No Score Yet,62,,Jeremy (Character),Movie,Kevin Connolly
Bad Trip,1999,No Score Yet,No Score Yet,,Unknown (Character),Movie,Kevin Connolly
Case Closed: The Last Wizard of the Century,1999,No Score Yet,No Score Yet,,Harley Hartwell (Voice),Movie,Kevin Connolly
Sub Down,1997,No Score Yet,62,,Petty Officer Holliday (Character),Movie,Kevin Connolly
Alan & Naomi,1992,No Score Yet,84,84855,Shaun Kelly (Character),Movie,Kevin Connolly
The Oath,2019-2019,No Score Yet,100,Box office not found,"Unknown (Guest Star),Director",TV Show,Kevin Connolly
Snatch,2018-2018,39,73,Box office not found,Director,TV Show,Kevin Connolly
Pitch,2016-2016,93,83,Box office not found,Unknown (Guest Star),TV Show,Kevin Connolly
Alan Carr: Chatty Man,2015-2015,No Score Yet,No Score Yet,Box office not found,Guest,TV Show,Kevin Connolly
The Ellen DeGeneres Show,2015-2015,No Score Yet,No Score Yet,Box office not found,Guest,TV Show,Kevin Connolly
Watch What Happens Live With Andy Cohen,2015-2015,No Score Yet,No Score Yet,Box office not found,Guest,TV Show,Kevin Connolly
The Tonight Show Starring Jimmy Fallon,2015-2015,No Score Yet,44,Box office not found,Guest,TV Show,Kevin Connolly
Friends With Better Lives,2014-2014,13,69,Box office not found,Bobby (Character),TV Show,Kevin Connolly
30 for 30,2013-2013,No Score Yet,No Score Yet,Box office not found,Director,TV Show,Kevin Connolly
Late Night With Jimmy Fallon,"2009-2011,2013",No Score Yet,No Score Yet,Box office not found,Guest,TV Show,Kevin Connolly
Vietnam in HD,2011-2011,No Score Yet,No Score Yet,Box office not found,Unknown (Voice),TV Show,Kevin Connolly
Entourage,2004-2011,65,82,Box office not found,Eric Murphy (Character),TV Show,Kevin Connolly
Conan,2011-2011,No Score Yet,No Score Yet,Box office not found,Guest,TV Show,Kevin Connolly
Rachael Ray,2009-2009,No Score Yet,No Score Yet,Box office not found,Guest,TV Show,Kevin Connolly
Late Night With Conan O'Brien,2008-2009,No Score Yet,No Score Yet,Box office not found,Guest,TV Show,Kevin Connolly
Viva Laughlin,2007-2007,25,No Score Yet,Box office not found,Unknown (Guest Star),TV Show,Kevin Connolly
Robot Chicken,2007-2007,No Score Yet,84,Box office not found,Unknown (Guest Voice),TV Show,Kevin Connolly
Unhappily Ever After,1995-1999,No Score Yet,No Score Yet,Box office not found,"Ryan Malloy (Character),Director",TV Show,Kevin Connolly
Afterschool Special,1995-1996,No Score Yet,No Score Yet,Box office not found,Unknown (Character),TV Show,Kevin Connolly
Wings,1993-1993,No Score Yet,No Score Yet,Box office not found,Unknown (Guest Star),TV Show,Kevin Connolly
Great Scott!,1992-1992,50,No Score Yet,Box office not found,Larry O'Donnell (Character),TV Show,Kevin Connolly
"London Fields, The Director's Cut",2019,No Score Yet,26,,"Director,Screenwriter",Movie,Mathew Cullen
London Fields,2018,0%,32,249796,Director,Movie,Mathew Cullen
The Queen's Corgi,2019,0%,38,,Director,Movie,Vincent Kesteloot
The Wild Life,2016,17,29,7965609,"Director,Art Director",Movie,Vincent Kesteloot
Robinson Crusoe,2016,No Score Yet,14,,Director,Movie,Vincent Kesteloot
Sammy 2,2012,20,35,,"Director,Film Editing,Art Director",Movie,Vincent Kesteloot
Chickenhare and the Hamster of Darkness,2022,No Score Yet,76,,"Director,Producer",Movie,Ben Stassen
Chickenhare and the Hamster of Darkness,2022,No Score Yet,No Score Yet,,"Director,Producer",Movie,Ben Stassen
Chickenhare and the Hamster of Darkness,2022,No Score Yet,No Score Yet,,"Director,Producer",Movie,Ben Stassen
Bigfoot Family,2020,No Score Yet,34,,"Director,Producer",Movie,Ben Stassen
The Queen's Corgi,2019,0%,38,,Director,Movie,Ben Stassen
The Son of Bigfoot,2017,75,43,,"Director,Cinematographer,Producer",Movie,Ben Stassen
The Son of Bigfoot,2017,No Score Yet,No Score Yet,,Director,Movie,Ben Stassen
The Wild Life,2016,17,29,7965609,"Director,Producer",Movie,Ben Stassen
Robinson Crusoe,2016,No Score Yet,14,,Producer,Movie,Ben Stassen
Wild Cats,2015,No Score Yet,No Score Yet,,"Director,Writer,Producer",Movie,Ben Stassen
African Safari,2013,No Score Yet,No Score Yet,,Director,Movie,Ben Stassen
The House of Magic,2013,76,54,,"Director,Screenwriter,Producer",Movie,Ben Stassen
The House of Magic,2013,No Score Yet,No Score Yet,,"Director,Screenwriter,Producer",Movie,Ben Stassen
The House of Magic,2013,No Score Yet,No Score Yet,,"Director,Screenwriter,Producer",Movie,Ben Stassen
The House of Magic,2013,No Score Yet,No Score Yet,,"Director,Screenwriter,Producer",Movie,Ben Stassen
Sammy 2,2012,20,35,,"Director,Producer",Movie,Ben Stassen
A Turtle's Tale: Sammy's Adventures,2010,44,47,,Director,Movie,Ben Stassen
A Turtle's Tale: Sammy's Adventures,2010,No Score Yet,No Score Yet,,Director,Movie,Ben Stassen
Fly Me to the Moon,2008,20,25,,"Director,Executive Producer",Movie,Ben Stassen
African Adventure: Safari in the Okavango,2007,No Score Yet,57,,"Director,Producer",Movie,Ben Stassen
Wild Safari: A South African Adventure,2005,83,64,16621230,Director,Movie,Ben Stassen
Misadventures,2003,No Score Yet,No Score Yet,,Director,Movie,Ben Stassen
S.O.S. Planet,2002,No Score Yet,No Score Yet,,"Director,Writer,Executive Producer",Movie,Ben Stassen
Haunted Castle,2001,25,47,13651656,"Director,Executive Producer,Writer,Film Editing",Movie,Ben Stassen
Alien Adventure,2000,No Score Yet,No Score Yet,5017087,"Director,Writer,Executive Producer,Cinematographer",Movie,Ben Stassen
Encounter in the Third Dimension,1998,73,64,7195401,"Executive Producer,Writer,Director",Movie,Ben Stassen
Thrill Ride: The Science of Fun,1997,No Score Yet,58,18787300,"Director,Writer",Movie,Ben Stassen
John Henry,2020,0%,22,,"Director,Screenwriter",Movie,Will Forbes
The Last Days of American Crime,2020,0%,22,,Director,Movie,Olivier Megaton
Taken 3,2014,13,43,89253340,Director,Movie,Olivier Megaton
Taken 2,2012,22,52,139852971,Director,Movie,Olivier Megaton
