title,year,tomatometer,audience_score,box_office,credits,category,Director Name
Inside the Actors Studio,2000-2000,No Score Yet,No Score Yet,Box office not found,Guest,TV Show,Sylvester Stallone
Kojak,1975-1975,No Score Yet,No Score Yet,Box office not found,Det. Rick Daly (Guest Star),TV Show,Sylvester Stallone
Police Story,1975-1975,No Score Yet,No Score Yet,Box office not found,"Elmore ""Rocky"" Caddo (Character)",TV Show,Sylvester Stallone
Ghosts Can't Do It,1990,No Score Yet,12,,"Director,Screenwriter,Cinematographer,Film Editing",Movie,John Derek
Bolero,1984,0%,18,,"Director,Screenwriter,Cinematographer",Movie,John Derek
Fantasies,1981,No Score Yet,17,,Director,Movie,John Derek
"Tarzan, the Ape Man",1981,10,19,,Director,Movie,John Derek
Confessions of Tom Harris,1972,No Score Yet,No Score Yet,,"Director,Cinematographer",Movie,John Derek
Once Before I Die,1966,No Score Yet,33,,"Bailey (Character),Director,Producer",Movie,John Derek
Nightmare in the Sun,1965,No Score Yet,No Score Yet,,Hitchhiker (Character),Movie,John Derek
Exodus,1960,65,69,,Taha (Character),Movie,John Derek
Prisoner of the Volga,1959,No Score Yet,No Score Yet,,Alexej Orloff (Character),Movie,John Derek
Pirate of the Half Moon,1958,No Score Yet,No Score Yet,,Nadir El Krim/Paul de Vellenera (Character),Movie,John Derek
High Hell,1958,No Score Yet,No Score Yet,,Craig Rhodes (Character),Movie,John Derek
The Flesh Is Weak,1957,No Score Yet,No Score Yet,,Tony Giani (Character),Movie,John Derek
Omar Khayyam,1957,No Score Yet,33,,Young Prince Malik (Character),Movie,John Derek
Fury at Showdown,1957,No Score Yet,67,,Brock Mitchell (Character),Movie,John Derek
The Ten Commandments,1956,86,87,,Joshua (Character),Movie,John Derek
Massacre at Sand Creek,1956,No Score Yet,No Score Yet,,Lt. Norman Tucker (Character),Movie,John Derek
The Leather Saint,1956,No Score Yet,No Score Yet,,Father Gil Allen (Character),Movie,John Derek
Prince of Players,1955,No Score Yet,57,,John Wilkes Booth (Character),Movie,John Derek
Run for Cover,1955,No Score Yet,70,,Davey Bishop (Character),Movie,John Derek
An Annapolis Story,1955,No Score Yet,No Score Yet,,Tony (Character),Movie,John Derek
The Outcast,1954,No Score Yet,No Score Yet,,Jet Cosgrave (Character),Movie,John Derek
The Adventures of Hajji Baba,1954,No Score Yet,17,,Hajji Baba (Character),Movie,John Derek
The Last Posse,1953,No Score Yet,60,,Jed Clayton (Character),Movie,John Derek
Ambush at Tomahawk Gap,1953,No Score Yet,14,,Kid (Character),Movie,John Derek
Mission Over Korea,1953,No Score Yet,No Score Yet,,Lt. Pete Barker (Character),Movie,John Derek
Sea of Lost Ships,1953,No Score Yet,No Score Yet,,G.R. 'Grad' Matthews (Character),Movie,John Derek
Prince of Pirates,1953,No Score Yet,No Score Yet,,Prince Roland (Character),Movie,John Derek
Scandal Sheet,1952,100,88,,Steve McCleary (Character),Movie,John Derek
Thunderbirds,1952,No Score Yet,No Score Yet,,Lt. Gil Hackett (Character),Movie,John Derek
Mask of the Avenger,1951,No Score Yet,No Score Yet,,Captain Renato Dimorna (Character),Movie,John Derek
The Family Secret,1951,No Score Yet,No Score Yet,,David Clark (Character),Movie,John Derek
Saturday's Hero,1951,No Score Yet,No Score Yet,,Steve Novak (Character),Movie,John Derek
Rogues of Sherwood Forest,1950,No Score Yet,17,,"Robin, Earl of Huntington (Character)",Movie,John Derek
Knock on Any Door,1949,69,58,,Nick Romano (Character),Movie,John Derek
All the King's Men,1949,97,78,,Tom Stark (Character),Movie,John Derek
I'll Be Seeing You,1944,No Score Yet,71,,Lt. Bruce (Character),Movie,John Derek
Zane Grey Theatre,"1957,1961-1957,1961",No Score Yet,No Score Yet,Box office not found,Unknown (Character),TV Show,John Derek
Showcase 39,1956-1956,No Score Yet,No Score Yet,Box office not found,Unknown (Character),TV Show,John Derek
Star Struck,1994,No Score Yet,No Score Yet,,Director,Movie,Jim Drake
Based on an Untrue Story,1993,No Score Yet,67,,Director,Movie,Jim Drake
Dad's a Dog,1989,No Score Yet,No Score Yet,,Director,Movie,Jim Drake
Speed Zone!,1989,0%,37,2359215,Director,Movie,Jim Drake
Goddess of Love,1988,No Score Yet,20,,Director,Movie,Jim Drake
Police Academy 4: Citizens on Patrol,1987,0%,38,28061343,Director,Movie,Jim Drake
This Wife for Hire,1985,No Score Yet,No Score Yet,,Director,Movie,Jim Drake
The Awakening of Cassie,1982,No Score Yet,No Score Yet,,Director,Movie,Jim Drake
A Legacy for Leonette,1982,No Score Yet,No Score Yet,,Director,Movie,Jim Drake
Malcolm & Eddie,1998-1998,No Score Yet,No Score Yet,Box office not found,Director,TV Show,Jim Drake
The Jamie Foxx Show,1997-1997,No Score Yet,No Score Yet,Box office not found,Director,TV Show,Jim Drake
Dave's World,1995-1997,No Score Yet,No Score Yet,Box office not found,Director,TV Show,Jim Drake
Coach,1990-1990,No Score Yet,No Score Yet,Box office not found,Director,TV Show,Jim Drake
Hogan Family,1986-1986,No Score Yet,No Score Yet,Box office not found,Director,TV Show,Jim Drake
The Golden Girls,1985-1985,No Score Yet,94,Box office not found,Director,TV Show,Jim Drake
Newhart,1984-1984,No Score Yet,No Score Yet,Box office not found,Director,TV Show,Jim Drake
Gimme a Break,1982-1983,No Score Yet,No Score Yet,Box office not found,Director,TV Show,Jim Drake
The Facts of Life,1979-1979,No Score Yet,No Score Yet,Box office not found,Director,TV Show,Jim Drake
Alice,1976-1976,No Score Yet,No Score Yet,Box office not found,Director,TV Show,Jim Drake
"Love, Weddings & Other Disasters",2020,3,24,,"Eddie Stone (Character),Director,Screenwriter,Producer,Original Music",Movie,Dennis Dugan
Grown Ups 2,2013,8,53,133668525,Director,Movie,Dennis Dugan
That's My Boy,2012,21,51,36931089,Executive Producer,Movie,Dennis Dugan
Jack and Jill,2011,3,36,74158157,Director,Movie,Dennis Dugan
Just Go With It,2011,19,59,103028109,Director,Movie,Dennis Dugan
Grown Ups,2010,10,62,162001186,Director,Movie,Dennis Dugan
You Don't Mess With the Zohan,2008,38,45,100018837,Director,Movie,Dennis Dugan
I Now Pronounce You Chuck and Larry,2007,15,69,119684970,Director,Movie,Dennis Dugan
The Benchwarmers,2006,13,64,57651794,Director,Movie,Dennis Dugan
Karroll's Christmas,2004,No Score Yet,52,,Director,Movie,Dennis Dugan
National Security,2003,11,45,35764982,Director,Movie,Dennis Dugan
Saving Silverman,2001,18,51,19351569,Director,Movie,Dennis Dugan
Big Daddy,1999,39,74,163479795,Director,Movie,Dennis Dugan
Beverly Hills Ninja,1997,13,53,31235710,Director,Movie,Dennis Dugan
Happy Gilmore,1996,62,85,38824099,"Doug Thompson (Character),Director",Movie,Dennis Dugan
Columbo: Butterfly in Shades of Grey,1994,No Score Yet,52,,Director,Movie,Dennis Dugan
The Shaggy Dog,1994,No Score Yet,No Score Yet,,Director,Movie,Dennis Dugan
Brain Donors,1992,50,85,504057,Director,Movie,Dennis Dugan
Problem Child,1990,0%,42,53470891,Director,Movie,Dennis Dugan
Parenthood,1989,92,76,99573575,David Brodsky (Character),Movie,Dennis Dugan
The New Adventures of Pippi Longstocking,1988,17,68,2314019,Mr. Settigren (Character),Movie,Dennis Dugan
The Suitors,1988,No Score Yet,No Score Yet,,Policeman (Character),Movie,Dennis Dugan
Can't Buy Me Love,1987,50,74,31563859,David Miller (Character),Movie,Dennis Dugan
Water,1985,0%,70,,Rob Waring (Character),Movie,Dennis Dugan
Shadow Chasers,1985,No Score Yet,No Score Yet,,"Edgar ""Benny"" Benedek (Character)",Movie,Dennis Dugan
The Toughest Man in the World,1984,No Score Yet,33,,Dick (Character),Movie,Dennis Dugan
The Howling,1981,74,60,,Chris (Character),Movie,Dennis Dugan
A Spaceman in King Arthur's Court,1979,No Score Yet,31,,Tom Trimble (Character),Movie,Dennis Dugan
The Last of the Good Guys,1978,No Score Yet,No Score Yet,,Officer Johnny Lucas (Character),Movie,Dennis Dugan
