title,year,movie_url,audience_score,critics_score,synopsis,Director,Producer,Screenwriter,Distributor,Production Co,Rating,Genre,Original Language,Release Date (Theaters),Release Date (Streaming),Runtime,Aspect Ratio,Director Name,Sound Mix,Box Office (Gross USA),Release Date (DVD),Rerelease Date (Theaters),Creator
Sin,2019,https://www.rottentomatoes.com/m/sin_2021,77,94,Michelangelo struggles to finish the Sistine Chapel.,Andrey Konchalovskiy,Alisher Usmanov,"Elena Kiseleva, Andrey Konchalovskiy",Corinth Films,"Regione Lazio, Channel One Russia, Production Center of Andrei Konchalovsky, RAI Cinema, Jean Vigo Italia, Ministry of Culture of the Russian Federation",,"Biography, History, Drama",Italian,"Feb 19, 2021, Limited",,2h 14m,,Andrey Konchalovskiy,,,,,
Paradise,2016,https://www.rottentomatoes.com/m/paradise_2016,79,70,A Russian woman in a concentration camp crosses paths with an SS officer who once fell madly in love with her.,Andrey Konchalovskiy,"Andrey Konchalovskiy, Florian Deyle","Andrey Konchalovskiy, Elena Kiseleva",Film Movement,,,Drama,German,"Oct 6, 2017, Limited","Feb 13, 2018",2h 11m,,Andrey Konchalovskiy,,$14.9K,,,
The Postman's White Nights,2014,https://www.rottentomatoes.com/m/belye_nochi_pochtalona_alekseya_tryapitsyna,68,89,A postman becomes his isolated community's only connection to the outside world.,Andrey Konchalovskiy,Andrey Konchalovskiy,"Andrey Konchalovskiy, Elena Kiseleva",,,,Drama,Russian,,,1h 30m,,Andrey Konchalovskiy,,,,,
The Go-Go Boys: The Inside Story of Cannon Films,2014,https://www.rottentomatoes.com/m/the_go_go_boys_the_inside_story_of_cannon_films,60,NA,"Menahem Golan and Yoram Globus turn the Hollywood power structure upside down, and found the most powerful independent film company in the world.",Hilla Medalia,"Yariv Horowitz, Hilla Medalia, Neta Zwebner-Zaibert, Roy Lev","Hilla Medalia, Daniel Sivan",,"Arte, kNow Productions, Medalia Productions",,Documentary,English,,,1h 30m,,Andrey Konchalovskiy,,,,,
The Nutcracker,2010,https://www.rottentomatoes.com/m/the_nutcracker_2010,28,0,"Christmas in Vienna is a dull affair for 9-year-old Mary (Elle Fanning), until her beloved Uncle Albert (Nathan Lane) arrives and gives her a special gift: an enchanted nutcracker. On Christmas night the nutcracker -- named NC -- comes to life and takes Mary to its magical land of sugarplum fairies and talking toys. Mary discovers that the wondrous kingdom faces a dire threat from the evil Rat King, and when the nutcracker is kidnapped, she must rally her new friends to save NC.",Andrey Konchalovskiy,"Andrey Konchalovskiy, Paul Lowin","Andrey Konchalovskiy, Chris Solimine",Freestyle Releasing,"Nutcracker Holdings, HCC Media Group",PG (Brief Smoking|Action|Scary Images|Thematic Material),"Holiday, Musical, Fantasy",English,"Dec 3, 2010, Wide","Nov 2, 2016",1h 48m,,Andrey Konchalovskiy,Dolby,$190.6K,,,
The Last Station,2009,https://www.rottentomatoes.com/m/last_station,67,70,"In 1910, famed novelist Leo Tolstoy (Christopher Plummer) and his wife Sofya (Helen Mirren) vehemently disagree over the rights to Tolstoy's literary legacy. Sofya believes her husband should bequeath them to her upon his death, while Tolstoy's chief disciple, Chertkov (Paul Giamatti), has nearly convinced the writer to sign the rights over to the Russian people. To this end, Chertkov inserts a spy into Tolstoy's household, who promptly falls for one of the novelist's daughters.",Michael Hoffman,"Chris Curling, Jens Meurer, Bonnie Arnold",Michael Hoffman,Sony Pictures Classics,"Egoli Tossell Film, Production Center of Andrei Konchalovsky, Zephyr Films, Sam Film GmbH - München",R (Nudity|A Scene of Sexuality),"Biography, History, Drama",English,"Dec 4, 2009, Limited","Aug 6, 2010",1h 50m,,Andrey Konchalovskiy,,$6.6M,,,
Moscow Chill,2007,https://www.rottentomatoes.com/m/moscow_chill_2009,49,NA,A computer hacker takes a job in Moscow and finds love in the violence filled underworld.,Chris Solimine,"Dmitri Dobouzhinsky, Andrey Konchalovskiy","Andrey Konchalovskiy, Chris Solimine",,,R (Brief Nudity|Some Violence|Language),"Drama, Mystery & Thriller",English,,"Dec 19, 2015",1h 33m,,Andrey Konchalovskiy,,,,,
Gloss,2007,https://www.rottentomatoes.com/m/gloss-glyanets,52,NA,A Russian seamstress (Yuliya Vysotskaya) travels to Moscow with dreams of becoming a supermodel.,Andrey Konchalovskiy,"Jeremy Burdek, Nadia Khamlichi, Adrian Politowski","Andrey Konchalovskiy, Dunya Smirnova",,,,"Comedy, Drama",English,,,1h 58m,,Andrey Konchalovskiy,Dolby Digital,,,,
The Lion in Winter,2003,https://www.rottentomatoes.com/m/the_lion_in_winter,NA,NA,"King Henry II is meeting with Eleanor of Aquitaine at Christmastide in 1183, choosing one of his sons as his successor.",Andrey Konchalovskiy,"Patrick Stewart, Dyson Lovell",James Goldman,,"Flying Freehold Productions, Matt IV, HCC Happy Crew Company",,"History, Drama, War",English,,,2h 47m,,Andrey Konchalovskiy,,,,,
House of Fools,2002,https://www.rottentomatoes.com/m/house_of_fools,82,41,"Believing her fiance is singer Bryan Adams (Bryan Adams), a psychiatric patient (Yuliya Vysotskaya) falls in love with a Chechen soldier (Sultan Islamov).",Andrey Konchalovskiy,"Andrey Konchalovskiy, Felix Kleiman",Andrey Konchalovskiy,Paramount Pictures,"Bac Films, Persona Films, Hachette Première",R,"Comedy, Drama",Russian,"Apr 25, 2003, Wide","Jul 25, 2015",1h 44m,Flat (1.85:1),Andrey Konchalovskiy,"Surround, Dolby SR, Dolby Digital, Dolby A, Dolby Stereo",$57.7K,,,
The Odyssey,1997,https://www.rottentomatoes.com/m/1075785-odyssey,60,NA,Synopsis not found,Andrey Konchalovskiy,,,,,,,,,,,,Andrey Konchalovskiy,,,,,
Kurochka Ryaba,1994,https://www.rottentomatoes.com/m/kurochka_ryaba,NA,NA,Synopsis not found,Andrey Konchalovskiy,,,,,,Comedy,Russian,,,1h 57m,,Andrey Konchalovskiy,,,,,
Kurochka Ryaba (Assia and the Hen with the Golden Eggs) (Ryaba My Chicken),1994,https://www.rottentomatoes.com/m/kurochka-ryaba,NA,NA,Synopsis not found,Andrey Konchalovskiy,,,,,,,,,,,,Andrey Konchalovskiy,,,,,
The Inner Circle,1991,https://www.rottentomatoes.com/m/the_inner_circle_1992,78,50,Life changes for a Moscow worker (Tom Hulce) when he's made Stalin's personal film projectionist but cannot tell his bride (Lolita Davidovich).,Andrey Konchalovskiy,,,,,PG-13,Drama,English,,,2h 17m,,Andrey Konchalovskiy,Surround,$544.1K,,,
Homer & Eddie,1989,https://www.rottentomatoes.com/m/homer_and_eddie,38,0,A slow-witted dishwasher (James Belushi) drives to Oregon with a dying woman (Whoopi Goldberg) who robs stores and shoots people.,Andrey Konchalovskiy,"Moritz Borman, James Cady",Patrick Cirillo,,Kings Road Entertainment,R,"Comedy, Drama",English,,"Dec 1, 2008",1h 40m,,Andrey Konchalovskiy,Surround,,,,
Tango & Cash,1989,https://www.rottentomatoes.com/m/tango_and_cash,52,31,"Police officers Ray Tango (Sylvester Stallone) and Gabe Cash (Kurt Russell) are narcotics experts working to bring down drug lord Yves Perret (Jack Palance). In an attempt to stymie their efforts, Perret sets up Tango and Cash, making it look as if they've killed an FBI agent. Arrested and put in prison, the two cops formulate an escape plan and, once out, team up with Tango's exotic dancer sister, Katherine (Teri Hatcher), in order to clear their records and take down Perret once and for all.",Andrey Konchalovskiy,"Jon Peters, Peter Guber, Larry J. Franco",Randy Feldman,,Warner Bros.,R,"Crime, Drama",English,,"May 1, 2008",1h 44m,,Andrey Konchalovskiy,"Surround, Stereo",$61.8M,,,
Shy People,1987,https://www.rottentomatoes.com/m/shy_people,79,64,A New York writer (Jill Clayburgh) and her teenage daughter (Martha Plimpton) disturb a Louisiana swamp woman (Barbara Hershey) and her odd family.,Andrey Konchalovskiy,"Yoram Globus, Menahem Golan","Gérard Brach, Andrey Konchalovskiy, Marjorie David",,"The Cannon Group, Golan-Globus Productions",R,Drama,English,"Dec 4, 1987, Limited","Jan 1, 2020",1h 59m,,Andrey Konchalovskiy,Surround,$7.4K,,,
Duet for One,1986,https://www.rottentomatoes.com/m/duet_for_one,88,80,"Stephanie Anderson (Julie Andrews) is a gifted concert violinist whose musical dreams are shattered when she's diagnosed with multiple sclerosis. But at least she has her conductor husband, David (Alan Bates), to lean on -- or she would if he weren't cheating on her. In time, Stephanie has to suffer another betrayal, this time from her up-and-coming student Constantine Kassanis (Rupert Everett). Assisting the woman in dealing with the drama is psychiatrist Dr. Louis Feldman (Max von Sydow).",Andrey Konchalovskiy,,,,,R,Drama,English,,,1h 47m,,Andrey Konchalovskiy,Surround,,,,
Runaway Train,1985,https://www.rottentomatoes.com/m/runaway_train,76,83,"Escaped convicts (Jon Voight, Eric Roberts) and a stowaway girl (Rebecca De Mornay) ride an unmanned diesel speeding out of control through Alaska.",Andrey Konchalovskiy,"Menahem Golan, Yoram Globus","Djordje Milicevic, Paul Zindel, Edward Bunker",MGM/UA Home Entertainment Inc.,Golan-Globus,R,Action,English,"Jan 17, 1986, Wide","Nov 30, 2016",1h 51m,,Andrey Konchalovskiy,Surround,$7.2M,,,
Maria's Lovers,1984,https://www.rottentomatoes.com/m/marias_lovers,60,43,A World War II POW (John Savage) returns to his Pennsylvania sweetheart (Nastassja Kinski) but is unable to consummate their marriage.,Andrey Konchalovskiy,"Bosko Djordjevic, Lawrence Taylor-Mortoff","Gérard Brach, Marjorie David, Andrey Konchalovskiy, Marjorie Rand, Paul Zindel",,"Cannon Group, Golan-Globus",R,Drama,English,,,1h 49m,35mm,Andrey Konchalovskiy,Stereo,,"Dec 26, 2001",,
Siberiade,1979,https://www.rottentomatoes.com/m/siberiade,92,NA,"In a rural Siberian village, the Solomin and Ustyuzhanin families have been feuding for generations, from the time before the Russian Revolution when they were isolated peasants to the industrialized present where they are politicized citizens. Nikolai Ustyuzhanin (Vitali Solomin) grew up learning to steal food from his Solomin neighbors, but then he falls in love with beautiful Anastasya Solomin (Natalya Andreychenko). The discord between families only deepens as the young lovers come together.",Andrey Konchalovskiy,,"Valentin Ezhov, Andrey Konchalovskiy",,,,Drama,Russian,,,3h 30m,,Andrey Konchalovskiy,,,"Mar 1, 2007",,
A Slave of Love,1976,https://www.rottentomatoes.com/m/raba_lyubvi_1974,83,NA,"While the battles of the Bolshevik Revolution grow increasingly brutal and violent, a film crew carries on with business as usual in the Russian countryside. The star of the production, Olga Nikolayevna Voznesenskaya (Elena Solovei), remains completely oblivious to the atrocities that are being committed in her country, but Victor Pototsky (Rodion Nakhapetov), the film's cameraman, is all too aware. As a Bolshevik, Pototsky wants Voznesenskaya and everyone else to know about the revolution.",Nikita Mikhalkov,,"Fridrikh Gorenshteyn, Andrey Konchalovskiy",,Mosfilm,,"Comedy, Drama",Russian,,"Nov 5, 2016",1h 34m,,Andrey Konchalovskiy,,,,,
Romans o vlyublyonnykh,1974,https://www.rottentomatoes.com/m/romans_o_vlyublyonnykh,NA,NA,"A woman is heartbroken after her fiance, a Soviet sailor, goes missing.",Andrey Konchalovskiy,,Elena Morozova,,Mosfilm,,"Drama, Romance",Russian,,,2h 9m,,Andrey Konchalovskiy,,,,,
The Worshipper,1973,https://www.rottentomatoes.com/m/the_worshipper,NA,NA,A student doesn't want to leave her school to visit her mother; a boy wants to join an ensemble.,"Ali Khamraev, Albert Khachaturov",,"Andrey Konchalovskiy, Albert Khachaturov, Aleksandr Adabashyan",,,,Drama,Russian,,,1h 8m,,Andrey Konchalovskiy,,,,,
Uncle Vanya,1971,https://www.rottentomatoes.com/m/dyadya_vanya,94,NA,"Based on Anton Chekhov's play of the same name, retired Professor Serebryakov (Vladimir Zeldin) returns to his deceased wife's estate -- with his new wife, Yelena (Irina Miroshnichenko), in tow. Prior to his return, Serebryakov received a stipend from his brother-in-law, ""Uncle Vanya (Innokenty Smoktunovsky),"" who lives on a meager salary and now resents the professor. When Serebryakov arrives with Yelena, she becomes an object of obsession for Uncle Vanya.",Andrey Konchalovskiy,,"Andrey Konchalovskiy, Anton Chekhov",,Mosfilm,,Drama,Russian,,,1h 50m,,Andrey Konchalovskiy,,,,,
Asya's Happiness,1967,https://www.rottentomatoes.com/m/istoriya_asi_klyachinoy_kotoraya_lyubila_da_ne_vyshla_zamuzh_1967,77,NA,"While working on a collective farm, pregnant Asya waits for her lover to propose. A suitor from the city asks for her hand in marriage, but she only has eyes for her good-for-nothing boyfriend.",Andrey Konchalovskiy,,Yuri Klepikov,,Mosfilm,,Drama,Russian,,,1h 39m,,Andrey Konchalovskiy,,,,,
Andrei Rublev,1966,https://www.rottentomatoes.com/m/andrei_rublev,93,96,"An expansive Russian drama, this film focuses on the life of revered religious icon painter Andrei Rublev (Anatoliy Solonitsyn). Drifting from place to place in a tumultuous era, the peace-seeking monk eventually gains a reputation for his art. But after Rublev witnesses a brutal battle and unintentionally becomes involved, he takes a vow of silence and spends time away from his work. As he begins to ease his troubled soul, he takes steps towards becoming a painter once again.",Andrei Tarkovsky,Tamara Ogorodnikova,"Andrey Konchalovskiy, Andrei Tarkovsky","Criterion Collection, Columbia Pictures",Mosfilm,R,Biography,Italian,"Dec 15, 1972, Original","Sep 29, 2018",2h 45m,,Andrey Konchalovskiy,Mono,$101.4K,,"Aug 24, 2018",
The First Teacher,1965,https://www.rottentomatoes.com/m/the-first-teacher,NA,NA,A former Russian soldier (Bolot Bejshenaliyev) instructs the Leninist doctrine to students in a remote Muslim region.,Andrey Konchalovskiy,,"Chingiz Aitmatov, Boris Dobrodeyev, Andrey Konchalovskiy",,Kirghizfilm,,Drama,Russian,"Dec 8, 1969, Original",,1h 42m,,Andrey Konchalovskiy,,,,,
Steamroller and the Violin,1960,https://www.rottentomatoes.com/m/the_steamroller_and_the_violin,83,91,A road worker intervenes when he sees a group of bullies teasing a 7-year-old violin student.,Andrei Tarkovsky,,"Andrey Konchalovskiy, Andrei Tarkovsky",Metro-Goldwyn-Mayer,Metro-Goldwyn-Mayer,,Drama,Russian,"Aug 18, 1962, Original",,45m,,Andrey Konchalovskiy,,,,,
Sweetwater,2023,https://www.rottentomatoes.com/m/sweetwater,95,26,"Hall of Famer Nat ""Sweetwater"" Clifton makes history as the first African American to sign an NBA contract, forever changing how the game of basketball is played.",Martin Guigui,"Josi W. Konski, Tim Moore, Dahlia Waingort Guigui, Darren Moorman",Martin Guigui,Briarcliff Entertainment,"Astrablu Media, Reserve Entertainment, Pasaca Entertainment, Sunset Pictures, Open River Entertainment",PG-13 (Smoking|Violence|Some Racial Slurs),"Biography, Drama, Sports",English,"Apr 14, 2023, Wide","May 2, 2023",1h 54m,Scope (2.35:1),Martin Guigui,,,,,
Blood Brothers: Civil War,2021,https://www.rottentomatoes.com/m/blood_brothers_civil_war,NA,NA,A strange inheritance complicates the relationship between two brothers competing for the affections of a mysterious young woman.,Jay Craven,"Jay Craven, Virginia Joffe",Jay Craven,Indican Pictures,Kingdom County Productions,,"Mystery & Thriller, Western",English,"Feb 12, 2021, Limited","Mar 9, 2021",1h 30m,Scope (2.35:1),Martin Guigui,Dolby Digital,$3.5K,,,
