title,year,movie_url,audience_score,critics_score,synopsis,Director,Producer,Screenwriter,Distributor,Production Co,Rating,Genre,Original Language,Release Date (Theaters),Release Date (Streaming),Runtime,Aspect Ratio,Director Name,Sound Mix,Box Office (Gross USA),Release Date (DVD),Rerelease Date (Theaters),Creator
Paradise Cove,2021,https://www.rottentomatoes.com/m/paradise_cove_2021,38,38,"This February, BAFTA Nominee Mena Suvari faces danger at Paradise Cove. Todd Grinnell (""One Day at a Time"") and Kristin Bauer van Straten (""True Blood"") also star in the Martin Guigui-directed thriller, the story of a contractor and his wife who move to Malibu to flip his mother's beach house and are terrorized by the deranged homeless lady living under the house.",Martin Guigui,"Dahlia Waingort Guigui, Sherry Klein",Sherry Klein,,"Thunder Studios, Sunset Pictures",,"Mystery & Thriller, Drama",English,"Feb 12, 2021, Limited","Feb 12, 2021",1h 43m,Scope (2.35:1),Martin Guigui,,,,,
Faceless,2021,https://www.rottentomatoes.com/m/faceless_2021,NA,NA,A disoriented and frightened man wakes up in a hospital room to discover he's the recipient of a full face transplant. He soon finds himself stalked by a mysterious hooded figure while trying to uncover the truth behind his new appearance.,Marcel Sarmiento,"Grant Fitch, Warren Ostergard","Ed Dougherty, Marcel Sarmiento, Freddie Villacci",Indican Pictures,"Black Bear Studios, Producer Capital Fund",,"Horror, Mystery & Thriller",English,"Jan 15, 2021, Limited","Feb 9, 2021",1h 30m,,Martin Guigui,,,,,
The Unhealer,2020,https://www.rottentomatoes.com/m/the_unhealer,83,83,"A bullied teenager gains the means to fight back when a botched faith healing bestows supernatural, shamanistic powers upon him. When his lifelong tormentors pull a prank that causes the death of someone he loves, the teen uses his newfound abilities for revenge and goes on a bloody rampage to settle the score. This dark horror tale features performances from genre favorites Adam Beach, Branscombe Richmond, Natasha Henstridge, and Lance Henriksen. ""Any fan of classic Stephen King should definitely check out The Unhealer"" (Joanna K. Neilson, Horror DNA)... it unfolds with fun surprises and gore ""like one of those shiny mid-career Wes Craven movies"" (Dark Eyes of London).",Martin Guigui,"Tony Hannagan, Cristi Harris, J. Shawn Harris, Galen Walker","Kevin E. Moore, J. Shawn Harris",,"Gama Entertainment Partners, Horror Business Films, 7 Ideas, Sunset Pictures",,"Mystery & Thriller, Horror, Sci-Fi",English,,"Jun 8, 2021",1h 34m,,Martin Guigui,,,,,
Find Your Groove,2020,https://www.rottentomatoes.com/m/find_your_groove,NA,NA,Exploring the loss of support for the arts in schools in the face of a growing body of research that demonstrates the positive impact that music and the arts has on the youth.,Michael Kirk,"Michael Kirk, Robin Bronk, Martin Guigui, Warren Ostergard",Michael Kirk,,Black Bear Studios,,Documentary,English,,"Mar 24, 2020",1h 29m,,Martin Guigui,,,,,
Drama Drama,2019,https://www.rottentomatoes.com/m/drama_drama,NA,NA,Teenage girls use their newly formed pop group to take a stand against bullying in their high school.,Martin Guigui,"Elliot Bellen, Brian Lukow, Dan Reardon, Dahlia Waingort Guigui","Martin Guigui, Brian Lukow",,"Sprockefeller Pictures, Sunset Pictures",PG-13 (Language|Suggestive References),"Drama, Music",English,,"Jun 1, 2021",1h 37m,,Martin Guigui,,,,,
Wetware,2018,https://www.rottentomatoes.com/m/wetware,50,NA,"WETWARE is set in a near future where there are tough and tedious jobs no one wants to do -- and people down on their luck who volunteer for genetic modifications to make them right for this work -- in slaughterhouses, infectious disease wards, landfill and other hard jobs. With business booming, programmers at Galapagos Wetware up the stakes by producing high-end prototypes, Jack (Bret Lada) and Kay, for more sensitive jobs like space travel, deep cover espionage or boots on the ground for climate or resource conflicts.Galapagos genetic programmer Hal Briggs (Cameron Scoggins) improvises as he goes on what qualities to include or delete in his gene splicing for Jack and, especially, Kay, to whom he develops a dangerous attachment. Then word gets out that Jack and Kay have escaped, before Briggs has completed his work. As Briggs scrambles to track his fugitive prototypes, he makes a provocative discovery that changes everything.",Jay Craven,"India Blake, Jay Craven",Jay Craven,Gravitas Ventures,,,Sci-Fi,English,"Jun 21, 2019, Limited","Dec 11, 2021",1h 44m,,Martin Guigui,,,,,
Future World,2018,https://www.rottentomatoes.com/m/future_world,12,0,"A queen lays dying as her son, Prince, travels across a barren wasteland to find a near-mythical medicine to save her life. After evading violent raiders on motorbikes led by the Warlord and his enforcer, Prince meets Ash, a robotic assassin in search of its own soul. When the Druglord captures Prince, he soon finds himself in an epic battle to save the last remnants of humanity.","James Franco, Bruce Thierry Cheung","James Franco, Andrea Iervolino, Vince Jolivette, Scott Reed","Bruce Thierry Cheung, Jeremy Craig Cheung, Jay Davis",Lionsgate Premiere,"AMBI Group, Premiere Picture",R (Language|Drug Use|Sexual Content/Nudity|Violence),"Mystery & Thriller, Sci-Fi, Action, Adventure",English,"May 25, 2018, Limited","May 27, 2018",1h 30m,,Martin Guigui,,,,,
9/11,2017,https://www.rottentomatoes.com/m/911_2017,41,20,"On the morning of 9/11, a messenger sings ""Happy Birthday"" to his daughter, a billionaire argues with his wife in a divorce hearing, a maintenance man begins his day, and a young Russian decides she's breaking up with her sugar daddy. When the first plane hits the World Trade Center, these five elevator passengers find themselves trapped. Forced to band together, they fight against all odds to escape before the imminent and inevitable collapse occurs.",Martin Guigui,"Martin Sprock, Dahlia Waingort Guigui, Warren Ostergard","Martin Guigui, Steven James Golebiowski",Atlas Distribution Company,"Vitamin A Films, Black Bear Studios",R (Language),Drama,English,"Sep 8, 2017, Wide","Jan 16, 2018",1h 30m,Scope (2.35:1),Martin Guigui,,$172.0K,,,
In Dubious Battle,2016,https://www.rottentomatoes.com/m/in_dubious_battle,39,26,"In California apple country, 900 migratory workers rise up against the landowners. The group takes on a life of its own, stronger than its individual members and more frightening. Led by the doomed Jim Nolan (Nat Wolff), the strike is founded on his tragic idealism and the philosophy to never submit or yield.",James Franco,"Monika Bacardi, James Franco, Andrea Iervolino, Vince Jolivette",Matt Rager,Momentum Pictures,"Rabbit Bandini Productions, Aperture Media Partners",R (Some Violence|Brief Sexuality),"History, Drama",English,"Feb 17, 2017, Limited","Mar 21, 2017",1h 54m,,Martin Guigui,,,,,
Newman,2015,https://www.rottentomatoes.com/m/newman,NA,NA,Inventor Joseph Newman spends years fighting for a patent.,Jon Fox,"Martin Guigui, Dahlia Waingort Guigui",,,"Jon Fox Films, Sunset Pictures",,Biography,English,,"Sep 14, 2017",1h 28m,,Martin Guigui,,,,,
