鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
士林區,建物,台北市士林區天母西路22巷9號2樓,0.0,,,,1011212,土地0建物1車位0,二層,7,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0681122,180.73999999999998,4,2,2,有,無,有,80000,443,,0.0,0,,RPXOMLPLKIHFFEA38CC
北投區,建物,台北市北投區榮華三路23號5樓之1,0.0,,,,1011220,土地0建物1車位0,五層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960521,238.75,3,2,2,有,有,有,83500,350,,0.0,0,,RPSPMLPLKIHFFEA97CC
士林區,建物,台北市士林區中山北路6段405巷53號4樓,0.0,,,,1011220,土地0建物1車位0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0731109,150.77,3,2,2,有,無,有,62000,411,,0.0,0,,RPWPMLPLKIHFFEA38CC
士林區,建物,台北市士林區天母東路69巷11-9號7樓,0.0,住,,,1011130,土地0建物1車位0,七層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0660901,201.96,3,2,2,有,無,有,83000,411,,0.0,0,車位跟外面租5500元含在租金內,RPXPMLPLKIHFFEA48CC
士林區,建物,台北市士林區忠誠2段180號9樓,0.0,,,,1011221,土地0建物1車位0,九層,26,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,0841103,240.89,3,2,2,有,有,有,95000,394,,0.0,0,,RPOQMLPLKIHFFEA67CC
北投區,建物,台北市士林區榮華三路23號三樓之1,0.0,住,,,1011203,土地0建物1車位1,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960521,249.07,4,2,2,有,有,有,78200,314,坡道平面,10.3,0,,RPPPMLQLKIHFFEA77CC
士林區,建物,台北市士林區克強路12號,0.0,其他,,,1011226,土地0建物1車位0,一層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0710810,136.44,1,0,1,有,無,無,60000,440,一樓平面,0.0,0,,RPVPMLQLKIHFFEA38CC
大安區,建物,台北市大安區復興南路2段35號12樓-2,0.0,商,,,1011130,土地0建物1車位0,十二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0691024,76.44,1,1,1,有,有,有,35000,458,,0.0,0,,RPQNMLQLKIHFFFA77CC
大安區,建物,台北市大安區忠孝東路四段181巷40弄6號5樓,0.0,住,,,1011225,土地0建物1車位0,五層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0750912,159.13,4,2,2,有,有,有,50000,314,,0.0,0,,RPOOMLQLKIHFFFA67CC
大安區,建物,台北市大安區仁愛路四段151巷30號7樓,0.0,住,,,1011220,土地0建物1車位0,七層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0780809,171.16000000000003,3,2,2,有,有,有,49000,286,,0.0,0,,RPPOMLQLKIHFFFA77CC
大安區,建物,台北市大安區四維路76巷5號11樓,0.0,,,,1011219,土地0建物1車位0,十一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840915,193.47,3,2,2,有,有,有,60000,310,,0.0,0,,RPQOMLQLKIHFFFA87CC
大安區,建物,台北市大安區瑞安街222巷48號5樓,0.0,住,,,1011226,土地0建物1車位0,五層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0910110,175.66,3,2,2,有,有,有,54000,307,,0.0,0,,RPROMLQLKIHFFFA97CC
中山區,房地(土地+建物),台北市中山區新生北路二段38號11樓之1,3547.0,商,,,1011218,土地1建物1車位0,十一層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850718,61.71,1,1,1,有,有,有,18889,306,,0.0,0,,RPXQMLQLKIHFFCA58DC
南港區,房地(土地+建物),台北市南港區舊莊街1段199巷11弄2號,43.41,住,,,1011203,土地1建物1車位0,一層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0780526,115.08,3,2,2,有,無,有,23000,200,,0.0,0,,RPVPMLQLKIHFFDA38DC
中正區,建物,台北市中正區杭州南路一段125號7樓,0.0,住,,,1011217,土地0建物1車位0,七層,10,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0850815,62.21,0,0,0,無,無,無,15000,241,,0.0,0,,RPUNMLQLKIHFFBA77CC
中正區,建物,台北市中正區衡陽路6號4樓之5,0.0,商,,,1011129,土地0建物1車位0,四層,8,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0661012,66.17999999999999,1,1,1,有,有,有,18000,272,,0.0,0,,RPWNMLQLKIHFFBA97CC
中山區,建物,台北市中山區長安東路2段162-1號9樓之3,0.0,商,,,1011127,土地0建物1車位1,九層,14,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0900326,82.69,2,1,1,有,有,有,37000,447,升降機械,9.86,0,租金內含有線電視費和網路費,RPRQMLQLKIHFFCA87CC
中山區,建物,台北市中山區農安街8號12樓,0.0,,,,1011231,土地0建物1車位0,十二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980622,102.31,2,1,1,有,無,有,58000,567,,0.0,0,,RPRSMLQLKIHFFCA08CC
中山區,建物,台北市中山區林森北路308號5樓之1,0.0,商,,,1011226,土地0建物1車位0,五層,15,套房(1房1廳1衛),住家用,見其他登記事項,0990409,35.72,1,0,1,有,有,有,18600,521,,0.0,0,,RPSTMLQLKIHFFCA28CC
中山區,房地(土地+建物),台北市中山區建國北路二段9-2號7樓之6,0.0,住,,,1011129,土地1建物1車位0,七層,14,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0950713,41.55,1,1,1,有,有,有,33000,794,,0.0,0,車位無出租,RPQNMLRLKIHFFCA57CC
中山區,房地(土地+建物),台北市中山區雙城街19巷8號10樓之12,0.0,商,,,1011130,土地1建物1車位0,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970312,68.71,2,1,1,有,有,有,47000,684,,0.0,0,,RPSNMLRLKIHFFCA77CC
內湖區,房地(土地+建物),台北市內湖區內湖路一段91巷100號1樓,30.06,住,,,1011205,土地1建物1車位0,一層,5,公寓(5樓含以下無電梯),見使用執照,鋼筋混凝土造,0700710,92.39,1,2,2,有,無,無,28600,310,,0.0,0,租金含稅,RPTNMLRLKIHFFCA87CC
中山區,建物,台北市中山區樂群三路289號7樓-6,0.0,其他,,,1011210,土地0建物1車位0,七層,10,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0981126,172.1,3,2,2,有,有,有,90000,523,坡道機械,19.24,0,,RPSPMLRLKIHFFCA97CC
中山區,建物,台北市中山區建國北路1段41號11樓-6,0.0,商,,,1011222,土地0建物1車位0,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960913,106.21000000000001,2,1,2,有,有,有,36000,314,升降機械,2.8,3500,建物租金32500元內含4500元管理費,RPUPMLRLKIHFFCA18CC
中山區,建物,台北市中山區松江路184巷26弄6號7F之6,0.0,住,,,1011224,土地0建物1車位0,七層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0971202,76.94999999999999,2,1,1,有,有,有,36000,468,,0.0,0,,RPXPMLRLKIHFFCA48CC
萬華區,建物,台北市中正區寶興街184號4樓,0.0,,,,1020101,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0671121,66.2,2,2,1,有,無,無,10500,159,,0.0,0,,RPUNMLRLKIHFFBA87CC
中正區,建物,台北市中正區南昌路一段74巷6號2樓,0.0,,,,1011210,土地0建物1車位0,二層,2,公寓(5樓含以下無電梯),,磚造,,45.05,2,1,1,有,無,無,10500,233,,0.0,0,,RPUNMLRLKIHFFAA77CC
中正區,建物,台北市中正區和平西路1段61號4F之2,0.0,住,,,1011227,土地0建物1車位0,四層,28,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0930120,192.48,4,2,2,有,有,有,50000,260,,0.0,0,,RPQPMLRLKIHFFAA57CC
大安區,建物,台北市大安區信義路4段265巷21弄12-1號4樓,0.0,住,,,1011209,土地0建物1車位0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,126.37,3,2,1,有,有,有,32000,253,,0.0,0,,RPQOMLRLKIHFFFA97CC
士林區,房地(土地+建物),台北市士林區中山北路七段191巷23號7F,3.07,住,,,1011220,土地1建物1車位0,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0700219,143.73,4,2,2,有,無,無,32000,223,,0.0,0,,RPVNMLRLKIHFFEA28CC
北投區,建物,台北市北投區明德路255號6樓-1,0.0,住,,,1011225,土地0建物1車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0670831,137.4,3,2,2,有,有,有,35000,255,,0.0,0,,RPWOMLRLKIHFFEA48CC
